I,u
-0.0003,1E-05
0.0651,0.24696
0.0816,0.759
0.083,1.0056
0.0847,1.5239
0.0864,2.0223
0.0879,2.5185
0.0896,3.0318
0.0905,3.4821
0.0922,4.0241
0.0933,4.5295
0.0957,5.011
0.097,5.5053
0.0987,5.9852
0.1005,6.565
0.1019,6.973
0.1031,7.458
0.1058,7.985
