I,u
-0.0005,-0.00476
-0.0002,0.18356
-0.0003,0.32207
-0.0002,0.5965
-0.0005,0.9771
0.0001,1.1992
-0.0004,1.4946
0,1.7462
-0.0003,2.0061
0.0015,2.3167
0.021,2.6358
0.069,2.9368
0.1312,3.1953
0.159,3.2964
0.2185,3.5262
0.2963,3.8361
0.3585,4.1037
0.3583,4.1815
