I,u
0.0003,0
0.0649,0.5151
0.0728,1.0904
0.0739,1.5263
0.0765,2.0828
0.0785,2.5153
0.0804,3.0022
0.082,3.5495
0.084,4.0343
0.0858,4.5489
0.0872,4.9893
0.0896,5.5144
0.0913,6.0341
0.095,6.478
0.097,6.97
0.0993,7.56
0.1017,8.043
