ue,uo
-15.075,-0.8225
-13.94,-0.8202
-12.949,-0.8183
-11.916,-0.8154
-10.984,-0.8132
-9.943,-0.8105
-9.069,-0.807
-7.89,-0.8036
-7.008,-0.7994
-5.814,-0.7943
-5.0542,-0.7896
-3.9251,-0.78
-3.0102,-0.7724
-1.9846,-0.7554
-0.9634,-0.7061
-0.0154,-0.00769
-0.00438,-0.0044
1.0954,1.0981
2.0252,2.0306
3.0713,3.0745
4.0345,4.0314
5.1026,5.1076
6.0291,6.0267
6.963,7.017
7.984,7.99
9.096,9.078
10.1,9.767
11.033,9.794
11.98,9.809
12.899,9.831
14.111,9.86
15.019,9.876
