U;I;R(kOhm);abs;rel
6;26,9;223,0;3,0;1,4
12;53,42;224,6;4,6;2,1
18;80,1;224,7;4,7;2,1
24;106,9;224,5;4,5;2,0
30;133,5;224,7;4,7;2,1
